equipamento_id,tipo_equipamento,temperatura,pressao,vibracao,horas_operacao,status
EQ-0460,Compressor,69.3,3.63,3.48,3747,normal
EQ-0461,Bomba,67.2,7.57,3.71,3175,alerta
EQ-0462,Motor,78.4,4.4,5.25,4897,critico
EQ-0463,Bomba,92.2,4.21,3.04,5037,critico
EQ-0464,Motor,83.5,2.7,2.76,7427,alerta
EQ-0465,Ventilador,66.8,4.67,2.61,8605,normal
EQ-0466,Compressor,56.7,3.78,2.01,2014,normal
EQ-0467,Ventilador,100.9,7.63,2.77,1381,critico
EQ-0468,Motor,70.7,6.81,2.08,1098,normal
EQ-0469,Motor,70.2,4.61,2.59,3426,normal
EQ-0470,Ventilador,69.7,8.43,3.85,3655,critico
EQ-0471,Motor,72.4,6.78,1.29,7938,normal
EQ-0472,Ventilador,68.3,5.08,3.65,9101,alerta
EQ-0473,Compressor,63.1,2.25,3.85,187,alerta
EQ-0474,Ventilador,63.4,8.48,2.27,5409,critico
EQ-0475,Compressor,69.6,3.69,0.07,2092,normal
EQ-0476,Ventilador,63.5,3.36,1.73,2130,normal
EQ-0477,Motor,61.4,6.83,3.83,5242,alerta
EQ-0478,Ventilador,71.3,8.67,2.37,8549,critico
EQ-0479,Motor,66.9,7.3,1.3,5647,alerta
EQ-0480,Ventilador,88.0,6.23,1.84,5185,alerta
EQ-0481,Ventilador,38.2,6.27,3.32,5776,normal
EQ-0482,Bomba,83.1,6.61,3.0,7913,alerta
EQ-0483,Motor,85.0,6.49,2.14,7547,alerta
EQ-0484,Bomba,45.1,5.87,2.0,7823,normal
EQ-0485,Motor,65.9,5.64,1.97,7355,normal
EQ-0486,Bomba,65.5,5.42,1.39,6465,normal
EQ-0487,Compressor,53.1,4.52,4.18,1497,alerta
EQ-0488,Ventilador,60.7,5.14,2.05,2555,normal
EQ-0489,Motor,56.7,3.3,3.74,5409,alerta
EQ-0490,Motor,91.0,5.37,4.07,2951,critico
EQ-0491,Ventilador,81.2,4.21,3.5,1238,alerta
EQ-0492,Motor,85.3,4.07,1.93,9165,alerta
EQ-0493,Motor,78.7,5.73,2.84,4727,normal
EQ-0494,Bomba,56.5,7.31,2.37,3965,alerta
EQ-0495,Motor,63.7,6.69,1.41,5686,normal
EQ-0496,Compressor,75.9,3.46,2.76,9242,normal
EQ-0497,Compressor,55.3,4.21,1.1,3701,normal
EQ-0498,Ventilador,78.6,6.72,3.71,2780,alerta
EQ-0499,Motor,67.1,4.22,1.89,7398,normal
EQ-0500,Ventilador,65.5,5.21,2.62,1588,normal
